Ticket #ID,Începând de la a câta piesa este linie?,Începând de la a câta piesă este Bingo?,Song 1,Song 2,Song 3,Song 4,Song 5,Song 6,Song 7,Song 8,Song 9
36,23,42,41. La Tortura (feat. Alejandro Sanz),13. Bubbly,42. When You Came into My Life,8. Yellow,23. Iris,30. Truly Madly Deeply,32. You're Still The One,16. Bleeding Love,14. Forever
37,12,44,4. I'm Yours,9. Umbrella,12. My Love (feat. T.I.),1. Halo,26. I Want It That Way,44. A Dios Le Pido,33. Kiss Me,7. Do You Know? (The Ping Pong Song),38. The Way I Are
38,33,44,10. With You,40. November Rain,26. I Want It That Way,33. Kiss Me,20. I Will Always Love You,18. Beautiful Soul,14. Forever,19. Butterfly,44. A Dios Le Pido
39,25,49,38. The Way I Are,2. Stickwitu,34. Meet Me Halfway,5. The Man Who Can't Be Moved,49. The Sweet Escape,17. The Scientist,13. Bubbly,25. Kiss from a Rose,16. Bleeding Love
40,10,40,5. The Man Who Can't Be Moved,2. Stickwitu,10. With You,17. The Scientist,6. Hero,35. These Words,11. Summer Love,40. November Rain,16. Bleeding Love
41,17,36,12. My Love (feat. T.I.),14. Forever,17. The Scientist,26. I Want It That Way,32. You're Still The One,25. Kiss from a Rose,24. I Don't Want to Miss a Thing,36. Aicha,15. Wherever You Will Go
42,31,38,12. My Love (feat. T.I.),38. The Way I Are,24. I Don't Want to Miss a Thing,13. Bubbly,33. Kiss Me,31. Fantasy,34. Meet Me Halfway,25. Kiss from a Rose,5. The Man Who Can't Be Moved
43,11,44,36. Aicha,39. Everlong,12. My Love (feat. T.I.),8. Yellow,9. Umbrella,11. Summer Love,22. I Want to Know What Love Is,44. A Dios Le Pido,43. Girlfriend
44,27,41,41. La Tortura (feat. Alejandro Sanz),21. The Power of Love,24. I Don't Want to Miss a Thing,30. Truly Madly Deeply,27. Angels,36. Aicha,37. Love Don't Cost a Thing,9. Umbrella,26. I Want It That Way
45,15,32,16. Bleeding Love,21. The Power of Love,15. Wherever You Will Go,32. You're Still The One,23. Iris,7. Do You Know? (The Ping Pong Song),30. Truly Madly Deeply,27. Angels,5. The Man Who Can't Be Moved
46,31,41,8. Yellow,31. Fantasy,5. The Man Who Can't Be Moved,38. The Way I Are,39. Everlong,22. I Want to Know What Love Is,41. La Tortura (feat. Alejandro Sanz),16. Bleeding Love,36. Aicha
47,30,44,35. These Words,38. The Way I Are,32. You're Still The One,15. Wherever You Will Go,30. Truly Madly Deeply,3. Tattoo,1. Halo,36. Aicha,44. A Dios Le Pido
48,15,43,31. Fantasy,25. Kiss from a Rose,7. Do You Know? (The Ping Pong Song),22. I Want to Know What Love Is,43. Girlfriend,15. Wherever You Will Go,29. As Long as You Love Me,42. When You Came into My Life,3. Tattoo
49,28,44,36. Aicha,27. Angels,8. Yellow,3. Tattoo,19. Butterfly,28. Take My Breath Away,11. Summer Love,44. A Dios Le Pido,9. Umbrella
50,32,47,7. Do You Know? (The Ping Pong Song),35. These Words,39. Everlong,47. Harder To Breathe,41. La Tortura (feat. Alejandro Sanz),8. Yellow,32. You're Still The One,11. Summer Love,23. Iris
51,23,49,23. Iris,49. The Sweet Escape,28. Take My Breath Away,9. Umbrella,19. Butterfly,41. La Tortura (feat. Alejandro Sanz),3. Tattoo,40. November Rain,44. A Dios Le Pido
52,40,49,24. I Don't Want to Miss a Thing,43. Girlfriend,45. ...Baby One More Time,4. I'm Yours,49. The Sweet Escape,5. The Man Who Can't Be Moved,40. November Rain,17. The Scientist,19. Butterfly
53,34,44,4. I'm Yours,43. Girlfriend,3. Tattoo,21. The Power of Love,39. Everlong,34. Meet Me Halfway,44. A Dios Le Pido,9. Umbrella,11. Summer Love
54,26,46,3. Tattoo,30. Truly Madly Deeply,12. My Love (feat. T.I.),13. Bubbly,26. I Want It That Way,21. The Power of Love,34. Meet Me Halfway,42. When You Came into My Life,46. Last Request
55,25,47,6. Hero,25. Kiss from a Rose,4. I'm Yours,15. Wherever You Will Go,40. November Rain,1. Halo,47. Harder To Breathe,37. Love Don't Cost a Thing,35. These Words
56,18,45,18. Beautiful Soul,2. Stickwitu,9. Umbrella,41. La Tortura (feat. Alejandro Sanz),1. Halo,27. Angels,36. Aicha,45. ...Baby One More Time,6. Hero
57,35,44,35. These Words,9. Umbrella,2. Stickwitu,12. My Love (feat. T.I.),23. Iris,38. The Way I Are,44. A Dios Le Pido,41. La Tortura (feat. Alejandro Sanz),34. Meet Me Halfway
58,26,49,26. I Want It That Way,46. Last Request,39. Everlong,8. Yellow,41. La Tortura (feat. Alejandro Sanz),45. ...Baby One More Time,23. Iris,15. Wherever You Will Go,49. The Sweet Escape
59,23,43,36. Aicha,22. I Want to Know What Love Is,34. Meet Me Halfway,18. Beautiful Soul,23. Iris,43. Girlfriend,39. Everlong,11. Summer Love,24. I Don't Want to Miss a Thing
60,9,48,9. Umbrella,3. Tattoo,7. Do You Know? (The Ping Pong Song),42. When You Came into My Life,15. Wherever You Will Go,25. Kiss from a Rose,48. Bad Romance,24. I Don't Want to Miss a Thing,16. Bleeding Love
61,14,39,14. Forever,16. Bleeding Love,18. Beautiful Soul,8. Yellow,1. Halo,39. Everlong,12. My Love (feat. T.I.),36. Aicha,24. I Don't Want to Miss a Thing
62,17,45,17. The Scientist,16. Bleeding Love,5. The Man Who Can't Be Moved,9. Umbrella,40. November Rain,24. I Don't Want to Miss a Thing,45. ...Baby One More Time,4. I'm Yours,30. Truly Madly Deeply
63,16,39,3. Tattoo,24. I Don't Want to Miss a Thing,32. You're Still The One,16. Bleeding Love,11. Summer Love,12. My Love (feat. T.I.),37. Love Don't Cost a Thing,39. Everlong,36. Aicha
64,18,43,7. Do You Know? (The Ping Pong Song),1. Halo,20. I Will Always Love You,4. I'm Yours,18. Beautiful Soul,11. Summer Love,43. Girlfriend,13. Bubbly,8. Yellow
65,15,49,42. When You Came into My Life,37. Love Don't Cost a Thing,46. Last Request,48. Bad Romance,49. The Sweet Escape,45. ...Baby One More Time,15. Wherever You Will Go,1. Halo,2. Stickwitu
66,33,49,19. Butterfly,33. Kiss Me,25. Kiss from a Rose,30. Truly Madly Deeply,49. The Sweet Escape,12. My Love (feat. T.I.),47. Harder To Breathe,7. Do You Know? (The Ping Pong Song),40. November Rain
67,29,46,18. Beautiful Soul,46. Last Request,34. Meet Me Halfway,37. Love Don't Cost a Thing,7. Do You Know? (The Ping Pong Song),35. These Words,29. As Long as You Love Me,24. I Don't Want to Miss a Thing,10. With You
68,24,48,7. Do You Know? (The Ping Pong Song),8. Yellow,24. I Don't Want to Miss a Thing,20. I Will Always Love You,23. Iris,48. Bad Romance,30. Truly Madly Deeply,32. You're Still The One,5. The Man Who Can't Be Moved
69,26,49,35. These Words,49. The Sweet Escape,23. Iris,31. Fantasy,29. As Long as You Love Me,26. I Want It That Way,40. November Rain,11. Summer Love,14. Forever
70,24,47,8. Yellow,24. I Don't Want to Miss a Thing,20. I Will Always Love You,44. A Dios Le Pido,47. Harder To Breathe,38. The Way I Are,41. La Tortura (feat. Alejandro Sanz),23. Iris,27. Angels
71,16,40,11. Summer Love,18. Beautiful Soul,21. The Power of Love,34. Meet Me Halfway,17. The Scientist,40. November Rain,3. Tattoo,4. I'm Yours,16. Bleeding Love
72,36,48,11. Summer Love,48. Bad Romance,39. Everlong,37. Love Don't Cost a Thing,25. Kiss from a Rose,29. As Long as You Love Me,19. Butterfly,18. Beautiful Soul,36. Aicha
73,18,49,7. Do You Know? (The Ping Pong Song),5. The Man Who Can't Be Moved,18. Beautiful Soul,3. Tattoo,49. The Sweet Escape,29. As Long as You Love Me,26. I Want It That Way,19. Butterfly,46. Last Request
74,38,44,31. Fantasy,40. November Rain,28. Take My Breath Away,38. The Way I Are,33. Kiss Me,44. A Dios Le Pido,29. As Long as You Love Me,43. Girlfriend,35. These Words
75,37,47,18. Beautiful Soul,37. Love Don't Cost a Thing,23. Iris,25. Kiss from a Rose,40. November Rain,16. Bleeding Love,46. Last Request,42. When You Came into My Life,47. Harder To Breathe
76,30,46,30. Truly Madly Deeply,41. La Tortura (feat. Alejandro Sanz),46. Last Request,12. My Love (feat. T.I.),37. Love Don't Cost a Thing,8. Yellow,2. Stickwitu,5. The Man Who Can't Be Moved,38. The Way I Are
77,23,45,15. Wherever You Will Go,45. ...Baby One More Time,10. With You,30. Truly Madly Deeply,18. Beautiful Soul,44. A Dios Le Pido,23. Iris,5. The Man Who Can't Be Moved,21. The Power of Love
78,27,46,46. Last Request,22. I Want to Know What Love Is,3. Tattoo,25. Kiss from a Rose,20. I Will Always Love You,27. Angels,24. I Don't Want to Miss a Thing,40. November Rain,43. Girlfriend
79,33,46,32. You're Still The One,10. With You,44. A Dios Le Pido,38. The Way I Are,33. Kiss Me,28. Take My Breath Away,46. Last Request,30. Truly Madly Deeply,14. Forever
80,15,46,7. Do You Know? (The Ping Pong Song),15. Wherever You Will Go,12. My Love (feat. T.I.),18. Beautiful Soul,9. Umbrella,6. Hero,46. Last Request,16. Bleeding Love,38. The Way I Are
81,12,47,47. Harder To Breathe,4. I'm Yours,13. Bubbly,43. Girlfriend,29. As Long as You Love Me,35. These Words,2. Stickwitu,12. My Love (feat. T.I.),1. Halo
82,18,45,15. Wherever You Will Go,4. I'm Yours,18. Beautiful Soul,7. Do You Know? (The Ping Pong Song),45. ...Baby One More Time,12. My Love (feat. T.I.),36. Aicha,29. As Long as You Love Me,19. Butterfly
83,30,48,21. The Power of Love,9. Umbrella,38. The Way I Are,17. The Scientist,7. Do You Know? (The Ping Pong Song),48. Bad Romance,30. Truly Madly Deeply,47. Harder To Breathe,46. Last Request
84,21,36,34. Meet Me Halfway,23. Iris,30. Truly Madly Deeply,20. I Will Always Love You,36. Aicha,9. Umbrella,21. The Power of Love,16. Bleeding Love,1. Halo
85,20,42,30. Truly Madly Deeply,34. Meet Me Halfway,20. I Will Always Love You,42. When You Came into My Life,39. Everlong,13. Bubbly,29. As Long as You Love Me,36. Aicha,16. Bleeding Love
86,24,47,42. When You Came into My Life,33. Kiss Me,25. Kiss from a Rose,21. The Power of Love,17. The Scientist,24. I Don't Want to Miss a Thing,1. Halo,26. I Want It That Way,47. Harder To Breathe
87,12,49,9. Umbrella,12. My Love (feat. T.I.),3. Tattoo,5. The Man Who Can't Be Moved,33. Kiss Me,49. The Sweet Escape,42. When You Came into My Life,32. You're Still The One,1. Halo
88,20,49,48. Bad Romance,20. I Will Always Love You,41. La Tortura (feat. Alejandro Sanz),22. I Want to Know What Love Is,1. Halo,42. When You Came into My Life,28. Take My Breath Away,6. Hero,49. The Sweet Escape
89,29,48,24. I Don't Want to Miss a Thing,38. The Way I Are,34. Meet Me Halfway,3. Tattoo,12. My Love (feat. T.I.),29. As Long as You Love Me,41. La Tortura (feat. Alejandro Sanz),19. Butterfly,48. Bad Romance
90,32,40,32. You're Still The One,25. Kiss from a Rose,9. Umbrella,40. November Rain,14. Forever,15. Wherever You Will Go,11. Summer Love,37. Love Don't Cost a Thing,35. These Words
91,33,48,41. La Tortura (feat. Alejandro Sanz),27. Angels,7. Do You Know? (The Ping Pong Song),43. Girlfriend,34. Meet Me Halfway,33. Kiss Me,21. The Power of Love,48. Bad Romance,19. Butterfly
92,38,43,39. Everlong,38. The Way I Are,41. La Tortura (feat. Alejandro Sanz),42. When You Came into My Life,27. Angels,13. Bubbly,43. Girlfriend,28. Take My Breath Away,7. Do You Know? (The Ping Pong Song)
93,22,40,40. November Rain,9. Umbrella,22. I Want to Know What Love Is,31. Fantasy,19. Butterfly,11. Summer Love,3. Tattoo,35. These Words,5. The Man Who Can't Be Moved
94,36,41,23. Iris,37. Love Don't Cost a Thing,21. The Power of Love,36. Aicha,40. November Rain,39. Everlong,30. Truly Madly Deeply,16. Bleeding Love,41. La Tortura (feat. Alejandro Sanz)
95,28,49,28. Take My Breath Away,14. Forever,17. The Scientist,48. Bad Romance,21. The Power of Love,42. When You Came into My Life,15. Wherever You Will Go,49. The Sweet Escape,47. Harder To Breathe
96,17,38,7. Do You Know? (The Ping Pong Song),35. These Words,28. Take My Breath Away,15. Wherever You Will Go,38. The Way I Are,9. Umbrella,17. The Scientist,24. I Don't Want to Miss a Thing,34. Meet Me Halfway
97,28,48,28. Take My Breath Away,43. Girlfriend,45. ...Baby One More Time,26. I Want It That Way,47. Harder To Breathe,23. Iris,10. With You,48. Bad Romance,3. Tattoo
98,31,48,32. You're Still The One,42. When You Came into My Life,20. I Will Always Love You,15. Wherever You Will Go,31. Fantasy,28. Take My Breath Away,48. Bad Romance,7. Do You Know? (The Ping Pong Song),34. Meet Me Halfway
99,29,45,36. Aicha,22. I Want to Know What Love Is,4. I'm Yours,45. ...Baby One More Time,31. Fantasy,37. Love Don't Cost a Thing,15. Wherever You Will Go,29. As Long as You Love Me,14. Forever
100,27,45,38. The Way I Are,24. I Don't Want to Miss a Thing,3. Tattoo,43. Girlfriend,19. Butterfly,45. ...Baby One More Time,37. Love Don't Cost a Thing,27. Angels,10. With You
101,26,45,41. La Tortura (feat. Alejandro Sanz),35. These Words,20. I Will Always Love You,38. The Way I Are,14. Forever,8. Yellow,45. ...Baby One More Time,32. You're Still The One,26. I Want It That Way
102,18,42,32. You're Still The One,7. Do You Know? (The Ping Pong Song),2. Stickwitu,33. Kiss Me,26. I Want It That Way,18. Beautiful Soul,39. Everlong,42. When You Came into My Life,16. Bleeding Love
103,34,48,48. Bad Romance,28. Take My Breath Away,2. Stickwitu,6. Hero,15. Wherever You Will Go,34. Meet Me Halfway,21. The Power of Love,36. Aicha,24. I Don't Want to Miss a Thing
104,31,37,36. Aicha,35. These Words,37. Love Don't Cost a Thing,7. Do You Know? (The Ping Pong Song),23. Iris,32. You're Still The One,29. As Long as You Love Me,27. Angels,31. Fantasy
105,23,33,13. Bubbly,15. Wherever You Will Go,23. Iris,25. Kiss from a Rose,12. My Love (feat. T.I.),18. Beautiful Soul,30. Truly Madly Deeply,24. I Don't Want to Miss a Thing,33. Kiss Me
106,16,48,16. Bleeding Love,25. Kiss from a Rose,22. I Want to Know What Love Is,9. Umbrella,39. Everlong,37. Love Don't Cost a Thing,15. Wherever You Will Go,38. The Way I Are,48. Bad Romance
107,23,44,44. A Dios Le Pido,14. Forever,32. You're Still The One,29. As Long as You Love Me,21. The Power of Love,33. Kiss Me,13. Bubbly,23. Iris,8. Yellow
108,12,41,5. The Man Who Can't Be Moved,12. My Love (feat. T.I.),7. Do You Know? (The Ping Pong Song),18. Beautiful Soul,1. Halo,41. La Tortura (feat. Alejandro Sanz),35. These Words,2. Stickwitu,9. Umbrella
109,36,46,24. I Don't Want to Miss a Thing,26. I Want It That Way,45. ...Baby One More Time,11. Summer Love,12. My Love (feat. T.I.),39. Everlong,46. Last Request,36. Aicha,5. The Man Who Can't Be Moved
110,46,49,38. The Way I Are,48. Bad Romance,17. The Scientist,46. Last Request,29. As Long as You Love Me,25. Kiss from a Rose,49. The Sweet Escape,3. Tattoo,47. Harder To Breathe
111,21,41,30. Truly Madly Deeply,18. Beautiful Soul,21. The Power of Love,41. La Tortura (feat. Alejandro Sanz),2. Stickwitu,11. Summer Love,32. You're Still The One,22. I Want to Know What Love Is,3. Tattoo
112,18,47,11. Summer Love,30. Truly Madly Deeply,16. Bleeding Love,18. Beautiful Soul,33. Kiss Me,42. When You Came into My Life,17. The Scientist,39. Everlong,47. Harder To Breathe
113,23,48,8. Yellow,48. Bad Romance,30. Truly Madly Deeply,23. Iris,19. Butterfly,16. Bleeding Love,3. Tattoo,25. Kiss from a Rose,32. You're Still The One
114,28,38,18. Beautiful Soul,26. I Want It That Way,38. The Way I Are,28. Take My Breath Away,8. Yellow,10. With You,17. The Scientist,29. As Long as You Love Me,13. Bubbly
115,10,30,30. Truly Madly Deeply,11. Summer Love,20. I Will Always Love You,13. Bubbly,19. Butterfly,1. Halo,10. With You,3. Tattoo,4. I'm Yours
116,14,47,32. You're Still The One,42. When You Came into My Life,7. Do You Know? (The Ping Pong Song),37. Love Don't Cost a Thing,47. Harder To Breathe,14. Forever,35. These Words,8. Yellow,12. My Love (feat. T.I.)
117,27,41,27. Angels,38. The Way I Are,36. Aicha,10. With You,33. Kiss Me,41. La Tortura (feat. Alejandro Sanz),11. Summer Love,30. Truly Madly Deeply,40. November Rain
118,35,45,45. ...Baby One More Time,1. Halo,35. These Words,44. A Dios Le Pido,18. Beautiful Soul,17. The Scientist,26. I Want It That Way,43. Girlfriend,6. Hero
119,20,49,45. ...Baby One More Time,2. Stickwitu,5. The Man Who Can't Be Moved,3. Tattoo,16. Bleeding Love,49. The Sweet Escape,18. Beautiful Soul,20. I Will Always Love You,37. Love Don't Cost a Thing
120,20,43,20. I Will Always Love You,29. As Long as You Love Me,22. I Want to Know What Love Is,10. With You,34. Meet Me Halfway,43. Girlfriend,4. I'm Yours,31. Fantasy,19. Butterfly
121,9,43,9. Umbrella,2. Stickwitu,7. Do You Know? (The Ping Pong Song),3. Tattoo,12. My Love (feat. T.I.),4. I'm Yours,21. The Power of Love,6. Hero,43. Girlfriend
122,20,32,13. Bubbly,18. Beautiful Soul,20. I Will Always Love You,29. As Long as You Love Me,25. Kiss from a Rose,32. You're Still The One,7. Do You Know? (The Ping Pong Song),6. Hero,23. Iris
123,20,47,42. When You Came into My Life,14. Forever,2. Stickwitu,26. I Want It That Way,47. Harder To Breathe,5. The Man Who Can't Be Moved,34. Meet Me Halfway,3. Tattoo,20. I Will Always Love You
124,27,45,14. Forever,27. Angels,22. I Want to Know What Love Is,3. Tattoo,6. Hero,29. As Long as You Love Me,45. ...Baby One More Time,31. Fantasy,4. I'm Yours
125,27,49,5. The Man Who Can't Be Moved,2. Stickwitu,28. Take My Breath Away,49. The Sweet Escape,47. Harder To Breathe,15. Wherever You Will Go,21. The Power of Love,11. Summer Love,27. Angels
126,14,41,10. With You,14. Forever,5. The Man Who Can't Be Moved,22. I Want to Know What Love Is,41. La Tortura (feat. Alejandro Sanz),30. Truly Madly Deeply,39. Everlong,33. Kiss Me,32. You're Still The One
127,12,30,3. Tattoo,18. Beautiful Soul,27. Angels,7. Do You Know? (The Ping Pong Song),22. I Want to Know What Love Is,6. Hero,12. My Love (feat. T.I.),30. Truly Madly Deeply,11. Summer Love
128,30,47,15. Wherever You Will Go,30. Truly Madly Deeply,17. The Scientist,8. Yellow,10. With You,47. Harder To Breathe,39. Everlong,28. Take My Breath Away,26. I Want It That Way
129,37,45,28. Take My Breath Away,32. You're Still The One,39. Everlong,31. Fantasy,37. Love Don't Cost a Thing,5. The Man Who Can't Be Moved,41. La Tortura (feat. Alejandro Sanz),3. Tattoo,45. ...Baby One More Time
130,24,49,40. November Rain,3. Tattoo,17. The Scientist,28. Take My Breath Away,5. The Man Who Can't Be Moved,49. The Sweet Escape,4. I'm Yours,24. I Don't Want to Miss a Thing,14. Forever
131,10,49,47. Harder To Breathe,23. Iris,12. My Love (feat. T.I.),49. The Sweet Escape,16. Bleeding Love,27. Angels,8. Yellow,10. With You,6. Hero
132,37,47,45. ...Baby One More Time,47. Harder To Breathe,28. Take My Breath Away,25. Kiss from a Rose,42. When You Came into My Life,37. Love Don't Cost a Thing,41. La Tortura (feat. Alejandro Sanz),32. You're Still The One,10. With You
133,29,49,10. With You,6. Hero,44. A Dios Le Pido,26. I Want It That Way,41. La Tortura (feat. Alejandro Sanz),42. When You Came into My Life,29. As Long as You Love Me,49. The Sweet Escape,38. The Way I Are
134,18,42,13. Bubbly,41. La Tortura (feat. Alejandro Sanz),38. The Way I Are,20. I Will Always Love You,42. When You Came into My Life,5. The Man Who Can't Be Moved,18. Beautiful Soul,9. Umbrella,3. Tattoo
135,39,43,40. November Rain,31. Fantasy,33. Kiss Me,34. Meet Me Halfway,41. La Tortura (feat. Alejandro Sanz),6. Hero,43. Girlfriend,11. Summer Love,39. Everlong
136,23,44,31. Fantasy,1. Halo,23. Iris,44. A Dios Le Pido,42. When You Came into My Life,10. With You,11. Summer Love,27. Angels,14. Forever
137,22,49,49. The Sweet Escape,6. Hero,38. The Way I Are,13. Bubbly,43. Girlfriend,40. November Rain,11. Summer Love,22. I Want to Know What Love Is,14. Forever
138,43,49,47. Harder To Breathe,1. Halo,40. November Rain,3. Tattoo,28. Take My Breath Away,43. Girlfriend,45. ...Baby One More Time,49. The Sweet Escape,23. Iris
139,23,46,23. Iris,5. The Man Who Can't Be Moved,6. Hero,39. Everlong,19. Butterfly,44. A Dios Le Pido,35. These Words,40. November Rain,46. Last Request
140,23,46,23. Iris,7. Do You Know? (The Ping Pong Song),5. The Man Who Can't Be Moved,30. Truly Madly Deeply,46. Last Request,12. My Love (feat. T.I.),16. Bleeding Love,20. I Will Always Love You,37. Love Don't Cost a Thing
